rab,E
0.700000,-0.182579022925
0.800000,-0.304445557060
0.900000,-0.390241375521
1.000000,-0.451760817052
1.100000,-0.496389526080
1.200000,-0.528954838085
1.300000,-0.552723024706
1.400000,-0.569967573891
1.500000,-0.582308499331
1.700000,-0.596683131314
1.800000,-0.600240985349
1.900000,-0.602093514508
2.000000,-0.602622271479
2.100000,-0.602123316730
2.200000,-0.600828316275
2.300000,-0.598919877926
2.400000,-0.596542862665
2.500000,-0.593812834942
2.600000,-0.590822441778
2.700000,-0.587646266256
2.800000,-0.584344543042
2.900000,-0.580966021947
3.000000,-0.577550195383
3.100000,-0.574129050389
3.200000,-0.570728460605
3.300000,-0.567369299940
3.400000,-0.564068337502
3.500000,-0.560838959216
3.600000,-0.557691751686
3.700000,-0.554634976277
3.800000,-0.551674955449
3.900000,-0.548816388724
4.000000,-0.546062612202
4.100000,-0.543415812608
4.200000,-0.540877204757
4.300000,-0.538447179524
4.400000,-0.536125428031
4.500000,-0.533911046655
4.600000,-0.531802626611
4.700000,-0.529798331073
4.800000,-0.527895962214
4.900000,-0.526093019997
5.000000,-0.524386754145
5.100000,-0.522774210386
5.200000,-0.521252271803
5.300000,-0.519817695943
5.400000,-0.518467148190
5.500000,-0.517197231780
5.600000,-0.516004514766
5.700000,-0.514885554182
5.800000,-0.513836917585
5.900000,-0.512855202144
6.000000,-0.511937051427
6.100000,-0.511079170001
6.200000,-0.510278335982
6.300000,-0.509531411670
6.400000,-0.508835352376
6.500000,-0.508187213577
6.600000,-0.507584156575
6.700000,-0.507023452716
6.800000,-0.506502486358
7.100000,-0.505153582524
7.300000,-0.504410230090
7.400000,-0.504079201383
7.500000,-0.503772805189
7.600000,-0.503489324587
7.700000,-0.503227144628
7.800000,-0.502984748681
7.900000,-0.502760714577
8.000000,-0.502553710601
8.100000,-0.502362491393
8.200000,-0.502185893798
8.300000,-0.502022832704
8.400000,-0.501872296910
8.500000,-0.501733345060
8.600000,-0.501605101647
8.700000,-0.501486753140
8.800000,-0.501377544217
8.900000,-0.501276774154
9.000000,-0.501183793346
9.100000,-0.501097999985
9.200000,-0.501018836900
9.300000,-0.500945788555
9.400000,-0.500878378198
9.500000,-0.500816165177
9.600000,-0.500758742407
9.700000,-0.500705733980
9.800000,-0.500656792931
9.900000,-0.500611599134
10.122105,-0.500523174768
10.640000,-0.500368190706
11.157895,-0.500264346656
11.675789,-0.500193973730
12.193684,-0.500145593814
12.711579,-0.500111753017
13.229474,-0.500087605161
13.747368,-0.500069992266
14.265263,-0.500056848659
14.783158,-0.500046814812
15.301053,-0.500038987541
15.818947,-0.500032759084
16.336842,-0.500027713957
16.854737,-0.500023563034
17.372632,-0.500020101333
17.890526,-0.500017180787
18.408421,-0.500014692443
18.926316,-0.500012554652
19.444211,-0.500010705111
19.962105,-0.500009095429
20.480000,-0.500007687374
20.997895,-0.500006450264
21.515789,-0.500005359125
22.033684,-0.500004393380
22.551579,-0.500003535901
23.069474,-0.500002772311
23.587368,-0.500002090450
24.105263,-0.500001480010
24.623158,-0.500000932154
25.141053,-0.500000439299
25.658947,-0.499999994950
26.176842,-0.499999593466
26.694737,-0.499999229968
27.212632,-0.499998900215
27.730526,-0.499998600510
28.248421,-0.499998327620
28.766316,-0.499998078714
29.284211,-0.499997851301
29.802105,-0.499997643191
30.320000,-0.499997452449
30.837895,-0.499997277362
31.355789,-0.499997116413
31.873684,-0.499996968252
32.391579,-0.499996831678
32.909474,-0.499996705622
33.427368,-0.499996589124
33.945263,-0.499996481328
34.463158,-0.499996381465
34.981053,-0.499996288844
35.498947,-0.499996202845
36.016842,-0.499996122906
36.534737,-0.499996048523
37.052632,-0.499995979238
37.570526,-0.499995914637
38.088421,-0.499995854346
38.606316,-0.499995798023
39.124211,-0.499995745360
39.642105,-0.499995696075
40.160000,-0.499995649910
40.677895,-0.499995606633
41.195789,-0.499995566027
41.713684,-0.499995527899
42.231579,-0.499995492069
42.749474,-0.499995458372
43.267368,-0.499995426659
43.785263,-0.499995396789
44.303158,-0.499995368637
44.821053,-0.499995342085
45.338947,-0.499995317026
45.856842,-0.499995293358
46.374737,-0.499995270992
46.892632,-0.499995249842
47.410526,-0.499995229828
47.928421,-0.499995210880
48.446316,-0.499995192929
48.964211,-0.499995175914
49.482105,-0.499995159775
50.000000,-0.499995144460
